Dataset x,Dataset y
1.579394299205E-1,7.574172715293E-1
4.060179853695E-2,9.427480501173E-1
2.070859658505E-1,1.226319298933E0
2.557341705239E-1,1.236756570252E0
3.072090208251E-1,1.361823873127E0
2.680208045064E-1,1.353982077103E0
2.788484353099E-1,1.371866632201E0
2.653658063115E-1,1.397267683753E0
2.586383343472E-1,1.422703341643E0
2.113024019829E-1,1.376614621674E0
2.288879583274E-1,1.397080809532E0
2.423484392699E-1,1.351303546598E0
2.086418667740E-1,1.414806175479E0
1.856909438999E-1,1.429970672469E0
1.653645656441E-1,1.373832272158E0
1.639000254510E-1,1.269397267560E0
1.099113708109E-1,1.317513918893E0
7.207972291303E-2,1.314773096982E0
1.451433906535E-1,1.414480875909E0
1.207971402610E-1,1.388886028868E0
1.275799823649E-1,1.414390899432E0
1.248945305931E-1,1.429659215433E0
1.357747630292E-1,1.495937272563E0
1.249748172956E-1,1.503522981691E0
1.642516258376E-1,1.592869623242E0
1.980274110081E-1,1.593042654928E0
2.088439677836E-1,1.600739104336E0
2.075289269675E-1,1.633843526563E0
2.466922267234E-1,1.618762084783E0
2.710190975671E-1,1.626527746865E0
2.709969495112E-1,1.606151535484E0
3.196673022405E-1,1.636965018184E0
3.088784305348E-1,1.654738833004E0
3.426348361564E-1,1.637082679731E0
3.615769609216E-1,1.662649841702E0
3.413308693682E-1,1.680375207649E0
2.536024201484E-1,1.761430170791E0
8.611033063303E-2,1.725878746026E0
1.608673206840E-1,1.805547132259E0
2.046011711630E-1,1.770173647671E0
2.054840792680E-1,1.792831145009E0
1.994074906167E-1,1.729695300982E0
1.813764669253E-1,1.723130650579E0
1.410212349121E-1,1.708361286412E0
1.547537976299E-1,1.708431637655E0
1.487123846002E-1,1.677657365607E0
1.323996900296E-1,1.672719587708E0
3.283861032590E-2,1.672209541193E0
8.771449948112E-3,1.639724854539E0
8.741550669654E-3,1.612217518358E0
2.677433314214E-2,1.620400247359E0
1.813871801097E-2,1.571813919865E0
4.306592233970E-2,1.605921082070E0
3.959584725746E-2,1.571923843682E0
5.511181399619E-2,1.633489975590E0
7.227575861230E-2,1.631959836045E0
1.323557205025E-1,1.632267622735E0
9.620397528431E-2,1.536616313385E0
1.099875426535E-1,1.583610943997E0
1.847199097693E-1,1.640626229846E0
1.589660783303E-1,1.635640085467E0
2.328612656493E-1,1.712067917550E0
2.697534577045E-1,1.699312357725E0
2.800352919320E-1,1.683184335169E0
1.456487484467E-2,1.442350044140E0
1.373648895326E-2,1.469852983369E0
1.290810306186E-2,1.497355922598E0
2.752533266576E-2,1.521701849778E0
5.244022552689E-2,1.544482461792E0
2.484319150995E-2,1.422985864386E0
4.199130709629E-2,1.406893017451E0
6.429616882612E-2,1.397298866628E0
5.399674678781E-2,1.397246103196E0
6.603560331996E-2,1.418342682320E0
7.293002517621E-2,1.444267115524E0
8.235533301489E-2,1.429752774614E0
8.319251281172E-2,1.410340228379E0
8.489325412167E-2,1.395786314894E0
9.948410200928E-2,1.395861063091E0
1.080722300511E-1,1.400759268414E0
1.097993530774E-1,1.410476533913E0
1.106734672770E-1,1.425043638256E0
1.106892963068E-1,1.439606345647E0
