Dataset x,Dataset y
-1.745149449397E-3,1.238594651285E-2
-1.745149449397E-3,1.238594651285E-2
-1.745149449397E-3,1.238594651285E-2
2.007358154169E0,3.024436287362E-1
2.076509701101E0,-8.773571054011E-2
2.076509701101E0,-8.773571054011E-2
4.085176717357E0,7.229155742003E-2
4.085176717357E0,7.229155742003E-2
4.049510225485E0,-5.769480859989E-2
6.057631882538E0,-6.020555846880E-2
6.057631882538E0,-6.020555846880E-2
6.057631882538E0,-6.020555846880E-2
9.051872050341E0,-1.614724698479E-1
9.085793392764E0,-5.516077608810E-1
9.085793392764E0,-5.516077608810E-1
1.204502149974E1,-5.878154168852E-1
1.211199160986E1,-1.628146827478E0
1.207501625590E1,-2.148224436287E0
1.507383744101E1,-8.841719979025E-1
1.510034189827E1,-3.484824331411E0
1.502846355532E1,-3.907335081279E0
1.757256423702E1,-1.667481908757E0
1.756165705296E1,-4.918242265338E0
1.756111169376E1,-5.080780283167E0
2.006845516518E1,-3.295989512323E0
2.005700262192E1,-6.709287886733E0
2.005700262192E1,-6.709287886733E0
2.502435238595E1,-6.748006292606E0
