Dataset x,Dataset y
2.200328545983E-2,1.129228410580E-4
3.542012496111E-2,2.181442981536E-4
6.504916281336E-2,2.520469459556E-4
8.870706692903E-2,5.508427724600E-4
1.041025113123E-1,6.383311028704E-4
1.162986347484E-1,9.553015446913E-4
1.415576709665E-1,1.130535740547E-3
1.576992311365E-1,1.482604528546E-3
1.801393624445E-1,1.975508189888E-3
2.010519430886E-1,2.150944734700E-3
2.239372420998E-1,2.343930452600E-3
2.692832752217E-1,2.906331782633E-3
3.047890599445E-1,3.219939631905E-3
3.339878490061E-1,3.485472889931E-3
3.501588417515E-1,3.661130179058E-3
3.667993641853E-1,3.975902146639E-3
3.693071319344E-1,3.975785397675E-3
3.729975666900E-1,3.984943705304E-3
3.768210952647E-1,4.031416279075E-3
3.793195230967E-1,4.087280658402E-3
3.818272908458E-1,4.087163909438E-3
3.843350585949E-1,4.087047160474E-3
3.868428263441E-1,4.086930411510E-3
3.893505940932E-1,4.086813662546E-3
3.918583618423E-1,4.086696913582E-3
3.943661295915E-1,4.086580164618E-3
3.968738973406E-1,4.086463415654E-3
3.993816650897E-1,4.086346666690E-3
4.028855350007E-1,4.128169064359E-3
4.068862885029E-1,4.197958676381E-3
4.118924840840E-1,4.253706306745E-3
4.144002518331E-1,4.253589557780E-3
4.168986796651E-1,4.309453937108E-3
4.194064474143E-1,4.309337188144E-3
4.230968821698E-1,4.318495495773E-3
4.269204107445E-1,4.364968069544E-3
4.294188385765E-1,4.420832448871E-3
4.331092733321E-1,4.429990756501E-3
4.369328019068E-1,4.476463330271E-3
4.406328684519E-1,4.532271767387E-3
4.479076131547E-1,4.643894479066E-3
4.535261862399E-1,4.755594293708E-3
4.569482443142E-1,4.755434980017E-3
4.606386790698E-1,4.764593287646E-3
4.632083237699E-1,4.811124235899E-3
4.657067516019E-1,4.866988615226E-3
4.669471444851E-1,4.947791870499E-3
4.694497233913E-1,4.978775748364E-3
4.719574911405E-1,4.978658999400E-3
4.744652588896E-1,4.978542250436E-3
4.781556936452E-1,4.987700558065E-3
4.819792222199E-1,5.034173131835E-3
4.844776500519E-1,5.090037511163E-3
4.869854178010E-1,5.089920762199E-3
4.894931855501E-1,5.089804013235E-3
4.924158012851E-1,5.108328182207E-3
4.944993811313E-1,5.145551643598E-3
4.969978089633E-1,5.201416022926E-3
4.999977903451E-1,5.257257052461E-3
5.037228606267E-1,5.309332279298E-3
5.070102001256E-1,5.312911283653E-3
5.100101815074E-1,5.368752313188E-3
5.137352517890E-1,5.420827540025E-3
5.170225912878E-1,5.424406544380E-3
5.195303590370E-1,5.424289795416E-3
5.224529747719E-1,5.442813964389E-3
5.245365546181E-1,5.480037425780E-3
5.270349824501E-1,5.535901805108E-3
5.304652615973E-1,5.643038437841E-3
5.338295127193E-1,5.728407874822E-3
5.370286937781E-1,5.759359322419E-3
5.395364615272E-1,5.759242573455E-3
5.420442292764E-1,5.759125824490E-3
5.445519970255E-1,5.759009075526E-3
5.470597647746E-1,5.758892326562E-3
5.508120764812E-1,5.814698331408E-3
5.551123299927E-1,5.926459520331E-3
5.587780528842E-1,5.874973227158E-3
5.620876914352E-1,5.870154089361E-3
5.645954591843E-1,5.870037340397E-3
5.675180749192E-1,5.888561509370E-3
5.696016547654E-1,5.925784970761E-3
5.721000825974E-1,5.981649350088E-3
5.751000639793E-1,6.037490379623E-3
5.788251342609E-1,6.089565606460E-3
5.821124737597E-1,6.093144610816E-3
5.842974306231E-1,6.149023583764E-3
5.861689165178E-1,6.204917150333E-3
5.889070040289E-1,6.285650680530E-3
5.921061850877E-1,6.316602128127E-3
5.950288008227E-1,6.335126297099E-3
