Dataset x,Dataset y
1.664829860559E-1,2.447408205933E-5
1.772370173758E-1,2.683638854777E-5
1.920072493300E-1,6.362956656328E-5
2.029832774647E-1,1.009723833698E-4
2.135658892203E-1,1.329221448440E-4
2.159952145922E-1,1.459744103826E-4
2.176193063492E-1,1.479877626470E-4
2.210034756689E-1,1.533869323577E-4
2.252935494740E-1,1.900021120707E-4
2.274081177950E-1,1.909345109680E-4
2.289700062320E-1,1.908917112550E-4
2.305318946690E-1,1.908489115421E-4
2.325320913943E-1,1.918230293213E-4
2.342630726285E-1,2.014175112086E-4
2.362268853969E-1,2.202230951883E-4
2.391173656965E-1,2.585692142971E-4
2.411143322281E-1,2.683459017979E-4
2.444684808683E-1,2.761767371497E-4
2.461067746705E-1,2.795530301775E-4
2.476646627104E-1,2.876131500795E-4
2.511299647592E-1,3.058125363376E-4
2.528749632161E-1,3.151356830107E-4
2.549863364581E-1,3.263060055806E-4
2.570146578811E-1,3.305719230817E-4
2.585765463181E-1,3.305291233688E-4
2.601384347551E-1,3.304863236559E-4
2.617003231921E-1,3.304435239430E-4
2.649931983401E-1,3.393564130101E-4
2.668528607922E-1,3.513096164863E-4
2.738515744682E-1,3.833250031488E-4
2.769201857161E-1,4.000707518628E-4
2.788437589592E-1,4.055999768405E-4
2.809567776820E-1,4.140650304542E-4
2.823517406536E-1,4.181982515498E-4
2.876495987956E-1,4.127412346644E-4
2.925269992587E-1,4.592437545712E-4
2.944359740151E-1,4.591914438110E-4
2.959978624521E-1,4.591486440981E-4
2.975597508891E-1,4.591058443851E-4
2.993155419150E-1,4.617586679131E-4
3.021623435063E-1,4.690632185306E-4
3.041111481440E-1,4.762123141028E-4
3.053753696879E-1,4.825364478240E-4
3.075857306487E-1,4.886700264000E-4
3.114009611084E-1,5.003499232884E-4
3.128343377096E-1,5.063931116231E-4
3.141560370830E-1,5.126697972545E-4
3.170508553474E-1,5.244025682232E-4
3.193888519673E-1,5.341338981439E-4
3.209507404043E-1,5.340910984309E-4
3.225126288413E-1,5.340482987180E-4
3.244392542393E-1,5.333952961376E-4
3.259851959075E-1,5.305019447052E-4
3.283564574179E-1,5.280918671358E-4
3.298847279133E-1,5.308623925320E-4
3.318839594634E-1,5.337915004405E-4
3.334458479004E-1,5.337487007276E-4
3.357269538707E-1,5.400784093992E-4
3.372800425451E-1,5.540935830814E-4
3.402199717180E-1,5.742571849315E-4
3.443523976452E-1,5.874685668368E-4
3.490273952305E-1,6.089479533380E-4
3.505839498047E-1,6.197090464450E-4
3.521418378445E-1,6.277691663470E-4
3.537023928158E-1,6.304273398391E-4
3.552642812529E-1,6.303845401262E-4
3.568261696899E-1,6.303417404133E-4
3.583867246612E-1,6.329999139053E-4
3.599459461668E-1,6.383590606024E-4
3.615065011381E-1,6.410172340944E-4
3.630683895751E-1,6.409744343815E-4
3.649394553818E-1,6.474054104180E-4
3.662036769257E-1,6.537295441392E-4
3.684140378865E-1,6.598631227152E-4
3.686463982626E-1,6.599853714820E-4
3.719084229924E-1,6.623396883149E-4
3.733266053037E-1,6.688958758666E-4
3.758988705241E-1,6.713775120811E-4
3.776446868400E-1,6.790440618552E-4
3.777337359212E-1,6.850994367747E-4
3.793402676805E-1,6.887852786391E-4
3.797560600820E-1,6.902143844250E-4
3.817843815049E-1,6.944803019262E-4
3.833462699420E-1,6.944375022133E-4
3.848075497214E-1,6.978186458752E-4
3.871202599571E-1,7.030285290343E-4
3.876614495731E-1,7.065635015368E-4
3.891156562058E-1,7.137261503514E-4
3.916624142974E-1,7.224194016631E-4
3.923038830251E-1,7.224446958001E-4
3.937431542592E-1,7.259636329859E-4
3.954492215932E-1,7.342652320954E-4
3.970117828635E-1,7.327264406073E-4
3.984129953801E-1,7.484720890404E-4
3.989716108799E-1,7.424461256768E-4
4.003563472276E-1,7.572504704338E-4
4.016230701098E-1,7.587591513870E-4
4.036148160488E-1,7.668073824799E-4
4.054845483898E-1,7.759393317214E-4
4.067487699337E-1,7.822634654426E-4
4.089591308945E-1,7.883970440186E-4
4.091914912707E-1,7.885192927854E-4
4.124535160005E-1,7.908736096183E-4
4.138716983117E-1,7.974297971700E-4
4.164439635321E-1,7.999114333845E-4
4.181897798480E-1,8.075779831586E-4
4.182788289292E-1,8.136333580781E-4
4.198853606885E-1,8.173191999425E-4
4.203011530900E-1,8.187483057284E-4
4.223294745130E-1,8.230142232296E-4
4.238913629500E-1,8.229714235167E-4
4.253526427294E-1,8.263525671785E-4
4.276653529651E-1,8.315624503377E-4
4.282065425812E-1,8.350974228402E-4
4.296607492138E-1,8.422600716548E-4
4.311216971507E-1,8.433004126340E-4
4.324129187092E-1,8.491685057341E-4
4.327275441331E-1,8.521394889311E-4
4.359543034562E-1,8.631549182568E-4
4.373213062514E-1,8.686846957043E-4
4.389637951717E-1,8.748622534359E-4
4.417368239872E-1,8.822031232235E-4
4.431436573439E-1,8.823789324666E-4
4.438998303725E-1,8.911041015559E-4
4.445914457379E-1,9.000311090717E-4
4.478385009811E-1,9.303526776552E-4
4.490761024199E-1,9.398470685750E-4
4.503847938878E-1,9.410866494164E-4
4.505888443098E-1,9.420585397568E-4
4.519000369520E-1,9.476474175299E-4
4.529790515113E-1,9.590218045948E-4
4.550491237473E-1,9.841738215574E-4
4.571181292108E-1,1.011486617084E-3
