Dataset x,Dataset y
1.251533897952E1,9.549478701751E2
1.251402111049E1,9.076531994087E0
1.268783238181E1,9.853485316872E2
1.271973033928E1,1.101787571020E3
1.278258832349E1,1.301981928927E3
1.277305830812E1,1.467441623191E3
1.279999866249E1,1.908673495477E3
1.286660836958E1,2.239602736412E3
1.295246228238E1,1.250933320060E3
1.295938598019E1,7.689149915690E2
1.310998150051E1,9.244250325583E2
1.310430326849E1,4.082930760079E2
1.322449898428E1,4.592666986485E2
1.329842808099E1,4.893284159716E2
1.336843601671E1,7.010156347241E2
1.338901144246E1,4.632056029101E2
1.350041130551E1,5.259381677390E2
1.352458650363E1,4.135680565952E2
1.362625307322E1,4.553929176046E2
1.364853198232E1,5.952082632674E2
1.376681531904E1,5.795419280518E2
1.387791520106E1,6.318211661582E2
1.396629165744E1,2.120118810151E3
1.403118382557E1,1.835274059957E3
1.406115506613E1,1.606611739400E3
1.412280103060E1,1.526912475762E3
1.420406357252E1,1.494255283125E3
1.427878011944E1,1.551756983094E3
1.429486660225E1,2.112316628590E3
1.439808666467E1,2.526540203715E3
1.454467525622E1,1.905892836305E3
1.444896003710E1,1.116658265759E3
1.460009661428E1,1.609287043175E3
1.463950116728E1,1.391079099715E3
1.469190130746E1,1.307458788181E3
1.472685973266E1,1.252583024386E3
1.477155145133E1,1.218614964410E3
1.476855164102E1,1.114081697185E3
1.491453495298E1,1.108871839815E3
1.494021005627E1,1.048768362284E3
1.502880604340E1,9.533922596859E2
1.506420912264E1,1.550540649459E3
1.515408002916E1,1.499591185432E3
1.518855098519E1,1.427728765712E3
1.521178874259E1,1.282692008561E3
1.526055161276E1,1.072325110517E3
1.530540891104E1,1.008904637657E3
1.531516500164E1,8.851578761939E2
1.541911036930E1,7.975944051660E2
1.550321575015E1,9.461015378145E2
1.562079624142E1,8.699625164375E2
1.574864797500E1,1.151741631530E3
1.573859526975E1,8.014387745599E2
1.581494258460E1,6.796034849814E2
1.594621283374E1,6.167927331301E2
1.603526648964E1,4.740169553301E2
1.606055440790E1,2.282642775623E3
1.615507923822E1,1.403091767064E3
1.624795729286E1,1.393583380503E3
1.630462852371E1,1.513530154225E3
1.630725096856E1,1.604913508217E3
1.632438268529E1,1.738182429858E3
1.635525879416E1,1.886683440899E3
1.635962953557E1,2.038989030886E3
1.633435584695E1,2.949960862517E3
1.638420071946E1,4.265328679927E3
1.645277006103E1,3.282276474444E3
1.653048526922E1,1.774811263290E3
1.655922849093E1,1.511742157168E3
1.661514688601E1,1.352520549362E3
1.669734643921E1,1.265993025143E3
1.682444542488E1,2.744059218492E3
1.685049233208E1,1.122359254897E3
1.686683998744E1,8.489042859234E2
1.692464574804E1,7.554509981041E2
1.701963820771E1,6.931552988381E2
1.704400364489E1,1.120650770023E3
1.711231760632E1,9.718150250689E2
1.715822447571E1,8.852833270264E2
1.729075130703E1,8.662604331533E2
1.732922936145E1,9.424173985394E2
1.732105553377E1,1.079144883026E3
1.734497396332E1,1.491063646846E3
1.743140229852E1,7.087793095308E2
1.748632734332E1,5.149427964691E2
1.761731448171E1,4.422667994494E2
1.764553267287E1,5.824599482847E2
1.772094908878E1,6.811207759102E2
1.780900940861E1,7.988211927008E2
1.782699609192E1,5.824808173998E2
1.794692868684E1,5.461490796244E2
1.805714776114E1,5.928917231890E2
1.811500318926E1,5.011691806324E2
1.815964757892E1,4.441023462872E2
1.814229234414E1,3.624824138320E2
1.815557952545E1,3.023444097421E2
1.833468795962E1,2.658517206308E2
1.844021057508E1,2.808987392535E2
1.848022443162E1,2.311423976040E2
1.851051709078E1,1.774031435828E2
1.870713558828E1,1.510098336241E2
1.888538505299E1,1.501194392587E2
1.888880941582E1,2.694469289005E2
1.891780628290E1,3.924209349413E2
1.910268413524E1,4.006402414830E2
1.910901005740E1,6.210772834168E2
1.921751021926E1,6.301987000394E2
1.918432350407E1,1.248691592824E3
1.926824448829E1,1.288780574013E3
1.929176313541E1,1.442724341316E3
1.944096345269E1,1.317038147175E3
1.943003315294E1,1.379888566568E3
1.948953180057E1,1.456410493527E3
1.949290388305E1,1.573916189434E3
1.961194975174E1,2.172387147094E3
1.968413750465E1,1.359878124771E3
1.973308673852E1,1.290655820699E3
1.981374020096E1,1.216882693451E3
1.989724294239E1,1.242397324760E3
1.991929773975E1,1.345330867483E3
1.999953295940E1,1.256983390355E3
2.010409717157E1,1.350817483422E3
2.014525663351E1,1.010147912837E3
2.021814765962E1,9.247853728783E2
2.033539230627E1,8.195400103540E2
2.034663670000E1,7.183308744817E2
2.041975018505E1,5.543783878374E2
2.056138398355E1,5.594551978172E2
2.060794243183E1,4.562259146405E2
2.071924539060E1,3.904519361164E2
2.087470855561E1,3.843971893428E2
2.101077824652E1,4.421027825198E2
2.097992460331E1,3.530340566660E2
2.107710774919E1,2.882705585897E2
2.109467141109E1,1.607474379144E2
2.123685705771E1,1.850542928746E2
2.144137650986E1,1.628115191516E2
2.151290500274E1,1.901465610900E2
2.162032844294E1,2.357036083350E2
2.163980905095E1,1.749795912761E2
2.183084767225E1,1.760136658731E2
2.199445991763E1,2.074077150212E2
2.204960311585E1,1.568088422245E2
2.231299839645E1,1.138312151536E2
2.235843780230E1,6.006393467282E1
2.247555656983E1,4.831466812631E1
2.252200865118E1,2.983571131353E1
2.287442585190E1,3.155663170715E1
2.293440780361E1,7.525369120562E1
2.306428487923E1,9.879409912806E1
2.320470202139E1,8.032594872287E1
2.329992087091E1,1.240270606242E2
2.346305771601E1,7.867526997861E1
2.353285639463E1,5.515782567230E1
2.394395353572E1,5.520510370551E1
2.429743163457E1,9.389474413228E1
2.446138826458E1,7.710969169413E1
2.468445883875E1,7.377456418188E1
2.477212742554E1,2.636688090497E2
2.492380797388E1,2.283980457940E2
2.514731255183E1,2.401864855681E2
2.524590698631E1,4.015153430294E2
2.533427822062E1,2.066001710804E2
2.540291955583E1,1.427532140106E2
2.553081950312E1,9.739737096222E1
2.559022278312E1,1.209296740790E2
2.570772733179E1,1.226235784536E2
2.571729610707E1,8.653574210460E2
2.579146235403E1,5.847406836737E2
2.589307412286E1,4.419191498451E2
2.601144667909E1,4.738601887923E2
2.610777464938E1,5.562104170919E2
2.621524205003E1,1.026732205740E3
2.625747806939E1,4.520434028653E2
2.626493188683E1,3.024894771685E2
2.629804698838E1,2.285560895051E2
2.649584205958E1,1.630435948806E2
2.655346110182E1,1.244012324871E2
2.659890050768E1,7.063395200629E1
2.678668596139E1,6.561437572604E1
2.690476918176E1,8.747303648239E1
2.706891870235E1,7.740956950482E1
2.730368668647E1,7.239539642837E1
2.742201102006E1,1.026560390104E2
2.742514549180E1,2.118818027448E2
2.745239812310E1,3.429554208278E2
2.760919027153E1,4.858066722773E2
2.760323135600E1,6.874528852936E2
2.782828049229E1,7.530140089171E2
2.790892926542E1,1.107585746768E3
2.805443731556E1,8.572242487740E2
2.807286520332E1,6.807853320359E2
2.816258667163E1,5.329212583108E2
2.814495787667E1,3.279115509624E2
2.834352451014E1,2.892853981803E2
2.848230208247E1,2.136837713602E2
2.847820315788E1,7.085008032302E1
2.874796692660E1,5.743797782371E1
2.876130390639E1,1.128924086744E2
2.907891821308E1,1.297328439514E2
2.917514973809E1,2.087222795208E2
2.930222990046E1,1.347996982649E2
2.944327393697E1,1.381767006066E2
2.950253254905E1,1.566678146279E2
2.968954644049E1,1.247618965054E2
2.977253743098E1,1.516576939543E2
2.993596361193E1,1.163882814996E2
2.998174057629E1,7.438377557479E1
3.021646033777E1,6.768920613319E1
3.030912338725E1,2.232931068192E1
3.049758395795E1,4.083528351368E1
3.056940798755E1,8.789448654339E1
3.079339479192E1,1.164868899689E2
3.105175048653E1,1.148362112246E2
3.118297779613E1,1.854277173710E2
3.134736842993E1,1.837662322192E2
3.140754327221E1,2.341848771782E2
3.167595680694E1,1.737216764549E2
3.224850300065E1,6.960329106252E1
3.236677911159E1,9.818353727945E1
3.263726621995E1,1.099773802573E2
3.275539766296E1,1.335164373788E2
3.305948209929E1,8.818085634458E1
3.343514945200E1,8.150249651438E1
3.365764135446E1,5.800261262040E1
3.402833756356E1,7.415587547335E1
3.434394466378E1,6.079739425413E1
3.457911756876E1,9.933442541592E1
3.476781326355E1,1.495865417701E2
3.496513719778E1,9.268143068905E1
3.509272129211E1,5.251177104206E1
3.550176330480E1,3.246664652836E1
3.600515316488E1,3.754758019174E1
3.651981397077E1,2.756068541656E1
3.683527692337E1,9.179146070244E0
3.693087405013E1,7.783837468213E1
3.724773042971E1,1.080130638977E2
3.737858187007E1,1.816993884648E2
3.750544522631E1,1.164144381824E2
3.777419072267E1,1.013762204833E2
3.792753600544E1,1.432525354642E2
3.805449546008E1,8.131629059983E1
3.840526077550E1,6.963619991775E1
3.863735853128E1,1.014657701588E0
3.929289244396E1,6.113088620133E0
3.992482738250E1,4.511416817148E0
4.019424556775E1,1.291413704450E1
4.049896611582E1,2.801830593610E1
4.072099415595E1,1.632340988427E1
4.080373471309E1,4.479682753672E1
4.109636747885E1,4.650482881336E1
4.140161656819E1,8.002687750429E1
4.175218968677E1,6.164937598609E1
4.203278271942E1,5.163556235682E1
4.217231044844E1,1.983901219769E1
4.240642627089E1,2.154028376081E1
4.254725132848E1,3.495125674551E1
4.280410123936E1,1.321428226761E1
4.334226492098E1,6.578784795899E0
